;;;;;;
Advanced wordlist: English to German;;;;;;
Page No.;English;Part of Speech;Definition;German;;
;UNIT 1;;;;;
10;autocratic;adj;demanding absolute obedience from other people;autoritÑr;;
10;bonus;n;extra amount of money that is given to you as a present or reward in addition to the money you were expecting;PrÑmie;;
10;by the book ;adv;formally, or according to the rules;genau nach Vorschrift;;
10;dress code;n;set of rules for what you can wear;Kleiderordnung;;
10;goal;n;aim or purpose;Ziel;;
10;mentor;n;person who gives another person help and advice over a period of time and often also teaches them how to do their job;Mentor;;
10;vision ;n; ability to imagine how a country, society, industry, etc. could develop in the future and to plan in a suitable way;Vision;;
11;dotcom ;n; Internet company;Internetfirma;;
11;publicly accountable ;adj;responsible to the government;dem Staat gegenÅber rechenschaftspflichtig;;
11;rat race;n;struggle of individuals in a competitive environment;Konkurrenzkampf;;
11;red tape;n;paperwork;BÅrokratie;;
11;streamline;v;make more efficient;straffen;;
12;board;n;group of people who are responsible for controlling and organising a company or organisation;Vorstand, UnternehmensfÅhrung;;
12;bottom line ;n; final line in the accounts of a company or organisation, which states the total profit or loss that has been made;Saldo;;
12;make redundant ;v;no longer employ someone because there is not enough work;jemanden ÅberflÅssig machen;;
12;market share;n;percentage of all the sales within a market that are held by one brand or company;Marktanteil;;
12;monitor;v;watch and check a situation carefully for a period of time in order to discover something about it;Åberwachen;;
12;return;n;amount of profit on an investment;Ertrag, Rendite;;
12;revenue;n;money earned from sales;Umsatz;;
12;shareholder;n;person who owns shares in a company;AktionÑr;;
;UNIT 2;;;;;
14;delegate;v;give a particular job, duty, right, etc. to someone else so that they do it for you;delegieren;;
14;get down to work ;v;start to direct your efforts and attention towards work;sich an die Arbeit machen;;
14;hands-on approach ;n;way of doing things which is practical, not theoretical;pragmatischer Ansatz;;
14;trouble-shooting skills pl;n;ability to remove or solve difficulties ;FÑhigkeit zur Problemlîsung;;
15;brand builder ;n;developer of a product?s image;Markenentwickler;;
15;brand image;n;impression of a product in the minds of potential customers;Markenimage;;
15;empire;n;very large and important business organisation;Imperium;;
15;feedback;n;remarks passed back to the person responsible, so that changes can be made if necessary;RÅckmeldung;;
15;fire;v;dismiss;entlassen;;
15;incompetent;adj;showing lack of ability or skill to do something successfully;inkompetent;;
15;ranks ;pl n;the membership of a group or organisation;Reihen;;
15;rate;n;level of payment;Tarif;;
15;stake;n;share or financial involvement in a business;Aktie, Beteiligung;;
15;venture;n;new activity, usually in business, which involves risk or uncertainty;Wagnis;;
15;workload;n;amount of work to be done, especially by a particular person or machine in a period of time;Arbeitspensum;;
